slurm submission log: 2025-06-03 16:16:59.615557
created following sbatch script: 

###############################

#!/bin/bash

#SBATCH --account=nlp
#SBATCH --cpus-per-task=8
#SBATCH --gres=gpu:1
#SBATCH --job-name=azguo-job-418903
#SBATCH --mem=50G
#SBATCH --nodelist=sphinx5
#SBATCH --open-mode=append
#SBATCH --output=azguo-job-418903.out
#SBATCH --partition=sphinx
#SBATCH --time=14-0

# activate your desired anaconda environment


# cd to working directory
cd .

# launch commands
srun --unbuffered run_as_child_processes 'python3 ppo.py'

###############################

submission to slurm complete!


###############################
slurm submission output

Submitted batch job 10398976



###############################

###############################
start time: 2025-06-03 16:17:07.588154
machine: sphinx5.stanford.edu
conda env: 224r
###############################
running following processes

	python3 ppo.py


###############################
command outputs: 


[Episode 0] Final Player Score: 0, Total Reward: 0.00
[Episode 1400] Final Player Score: 0, Total Reward: 0.00
[Episode 1450] Final Player Score: 0, Total Reward: 0.00
Game 1: Player = -6, Bot = 12
Game 2: Player = -6, Bot = 12
Game 3: Player = 0, Bot = 0
Game 4: Player = 0, Bot = 0
Game 5: Player = 0, Bot = 0
Game 6: Player = 0, Bot = 0
Game 7: Player = -6, Bot = 12
Game 8: Player = 12, Bot = 6
Game 9: Player = 0, Bot = 0
Game 10: Player = 0, Bot = 0
Game 11: Player = 0, Bot = 0
Game 12: Player = -6, Bot = 12
Game 13: Player = -6, Bot = 12
Game 14: Player = -6, Bot = 12
Game 15: Player = -6, Bot = 12
Game 16: Player = -6, Bot = 12
Game 17: Player = -6, Bot = 12
Game 18: Player = 14, Bot = -6
Game 19: Player = -6, Bot = 12
Game 20: Player = 0, Bot = 0
Game 21: Player = 0, Bot = 0
Game 22: Player = 12, Bot = -6
Game 23: Player = 7, Bot = 8
Game 24: Player = 12, Bot = -6
Game 25: Player = 0, Bot = 0
Game 26: Player = 7, Bot = 8
Game 27: Player = 8, Bot = 7
Game 28: Player = 0, Bot = 0
Game 29: Player = 0, Bot = 0
Game 30: Player = 0, Bot = 0
Game 31: Player = 0, Bot = 0
Game 32: Player = 0, Bot = 0
Game 33: Player = -6, Bot = 12
Game 34: Player = 12, Bot = -6
Game 35: Player = -6, Bot = 12
Game 36: Player = 12, Bot = -6
Game 37: Player = 0, Bot = 0
Game 38: Player = 0, Bot = 0
Game 39: Player = -6, Bot = 12
Game 40: Player = 16, Bot = -6
Game 41: Player = -6, Bot = 12
Game 42: Player = -6, Bot = 12
Game 43: Player = -6, Bot = 12
Game 44: Player = 0, Bot = 0
Game 45: Player = 0, Bot = 0
Game 46: Player = 0, Bot = 0
Game 47: Player = 7, Bot = 8
Game 48: Player = 0, Bot = 0
Game 49: Player = 12, Bot = -6
Game 50: Player = 0, Bot = 0
Game 51: Player = 12, Bot = -6
Game 52: Player = 6, Bot = 12
Game 53: Player = 0, Bot = 0
Game 54: Player = 12, Bot = -6
Game 55: Player = 0, Bot = 0
Game 56: Player = 12, Bot = 6
Game 57: Player = 12, Bot = -6
Game 58: Player = 0, Bot = 0
Game 59: Player = 0, Bot = 0
Game 60: Player = 0, Bot = 0
Game 61: Player = 12, Bot = -6
Game 62: Player = 12, Bot = -6
Game 63: Player = 0, Bot = 0
Game 64: Player = 8, Bot = 7
Game 65: Player = 0, Bot = 0
Game 66: Player = -6, Bot = 12
Game 67: Player = 12, Bot = -6
Game 68: Player = 0, Bot = 0
Game 69: Player = 0, Bot = 0
Game 70: Player = 0, Bot = 0
Game 71: Player = 0, Bot = 0
Game 72: Player = 7, Bot = 8
Game 73: Player = -6, Bot = 12
Game 74: Player = 0, Bot = 0
Game 75: Player = 0, Bot = 0
Game 76: Player = 12, Bot = -6
Game 77: Player = 0, Bot = 0
Game 78: Player = 12, Bot = -6
Game 79: Player = 0, Bot = 0
Game 80: Player = 12, Bot = -6
Game 81: Player = 0, Bot = 0
Game 82: Player = 0, Bot = 0
Game 83: Player = 0, Bot = 0
Game 84: Player = -6, Bot = 12
Game 85: Player = 0, Bot = 0
Game 86: Player = -6, Bot = 12
Game 87: Player = 12, Bot = -6
Game 88: Player = 12, Bot = -6
Game 89: Player = 0, Bot = 0
Game 90: Player = 12, Bot = -6
Game 91: Player = 0, Bot = 0
Game 92: Player = -6, Bot = 12
Game 93: Player = 12, Bot = -6
Game 94: Player = 0, Bot = 0
Game 95: Player = 12, Bot = -6
Game 96: Player = 0, Bot = 0
Game 97: Player = 6, Bot = 12
Game 98: Player = -6, Bot = 12
Game 99: Player = -6, Bot = 12
Game 100: Player = 12, Bot = -6
Game 101: Player = 0, Bot = 0
Game 102: Player = 12, Bot = -6
Game 103: Player = 12, Bot = -6
Game 104: Player = -6, Bot = 12
Game 105: Player = -6, Bot = 12
Game 106: Player = 9, Bot = 8
Game 107: Player = 0, Bot = 0
Game 108: Player = 0, Bot = 0
Game 109: Player = -6, Bot = 12
Game 110: Player = 0, Bot = 0
Game 111: Player = 0, Bot = 0
Game 112: Player = -6, Bot = 12
Game 113: Player = 0, Bot = 0
Game 114: Player = 12, Bot = -6
Game 115: Player = 0, Bot = 0
Game 116: Player = 0, Bot = 0
Game 117: Player = 0, Bot = 0
Game 118: Player = 12, Bot = -6
Game 119: Player = 12, Bot = -6
Game 120: Player = 12, Bot = -6
Game 121: Player = 6, Bot = 12
Game 122: Player = -6, Bot = 12
Game 123: Player = 0, Bot = 0
Game 124: Player = 0, Bot = 0
Game 125: Player = -6, Bot = 12
Game 126: Player = 0, Bot = 0
Game 127: Player = 0, Bot = 0
Game 128: Player = -6, Bot = 12
Game 129: Player = -6, Bot = 12
Game 130: Player = 12, Bot = -6
Game 131: Player = 12, Bot = -6
Game 132: Player = 12, Bot = -6
Game 133: Player = 0, Bot = 0
Game 134: Player = 12, Bot = -6
Game 135: Player = 0, Bot = 0
Game 136: Player = 0, Bot = 0
Game 137: Player = 12, Bot = -6
Game 138: Player = -6, Bot = 12
Game 139: Player = 0, Bot = 0
Game 140: Player = 12, Bot = -6
Game 141: Player = 0, Bot = 0
Game 142: Player = -6, Bot = 12
Game 143: Player = 0, Bot = 0
Game 144: Player = 12, Bot = -6
Game 145: Player = -6, Bot = 12
Game 146: Player = 0, Bot = 0
Game 147: Player = -6, Bot = 12
Game 148: Player = -6, Bot = 12
Game 149: Player = 0, Bot = 0
Game 150: Player = 0, Bot = 0
Game 151: Player = 0, Bot = 0
Game 152: Player = 12, Bot = -6
Game 153: Player = 12, Bot = -6
Game 154: Player = 0, Bot = 0
Game 155: Player = -6, Bot = 12
Game 156: Player = 12, Bot = -6
Game 157: Player = 0, Bot = 0
Game 158: Player = 12, Bot = -6
Game 159: Player = 12, Bot = -6
Game 160: Player = -6, Bot = 12
Game 161: Player = 0, Bot = 0
Game 162: Player = 0, Bot = 0
Game 163: Player = 0, Bot = 0
Game 164: Player = 0, Bot = 0
Game 165: Player = 0, Bot = 0
Game 166: Player = 0, Bot = 0
Game 167: Player = 0, Bot = 0
Game 168: Player = -6, Bot = 12
Game 169: Player = 12, Bot = 6
Game 170: Player = 0, Bot = 0
Game 171: Player = 0, Bot = 0
Game 172: Player = -6, Bot = 12
Game 173: Player = 0, Bot = 0
Game 174: Player = 12, Bot = -6
Game 175: Player = 7, Bot = 8
Game 176: Player = 12, Bot = -6
Game 177: Player = 12, Bot = 6
Game 178: Player = 0, Bot = 0
Game 179: Player = 12, Bot = -6
Game 180: Player = 12, Bot = -6
Game 181: Player = 0, Bot = 0
Game 182: Player = 12, Bot = -6
Game 183: Player = 12, Bot = 6
Game 184: Player = 0, Bot = 0
Game 185: Player = -6, Bot = 12
Game 186: Player = -6, Bot = 12
Game 187: Player = 0, Bot = 0
Game 188: Player = 12, Bot = -6
Game 189: Player = 0, Bot = 0
Game 190: Player = 12, Bot = -6
Game 191: Player = 12, Bot = -6
Game 192: Player = 8, Bot = 7
Game 193: Player = 12, Bot = -6
Game 194: Player = 0, Bot = 0
Game 195: Player = 14, Bot = -6
Game 196: Player = -6, Bot = 12
Game 197: Player = 0, Bot = 0
Game 198: Player = 6, Bot = 12
Game 199: Player = 6, Bot = 12
Game 200: Player = 12, Bot = -6
Game 201: Player = 6, Bot = 12
Game 202: Player = 0, Bot = 0
Game 203: Player = -6, Bot = 12
Game 204: Player = -6, Bot = 12
Game 205: Player = 16, Bot = -6
Game 206: Player = 8, Bot = 6
Game 207: Player = 12, Bot = -6
Game 208: Player = 0, Bot = 0
Game 209: Player = 12, Bot = -6
Game 210: Player = 0, Bot = 0
Game 211: Player = -6, Bot = 12
Game 212: Player = -6, Bot = 12
Game 213: Player = 0, Bot = 0
Game 214: Player = 12, Bot = -6
Game 215: Player = 0, Bot = 0
Game 216: Player = 0, Bot = 0
Game 217: Player = 12, Bot = -6
Game 218: Player = 12, Bot = 6
Game 219: Player = 0, Bot = 0
Game 220: Player = 0, Bot = 0
Game 221: Player = 12, Bot = 6
Game 222: Player = 0, Bot = 0
Game 223: Player = 0, Bot = 0
Game 224: Player = -6, Bot = 12
Game 225: Player = 0, Bot = 0
Game 226: Player = 0, Bot = 0
Game 227: Player = 0, Bot = 0
Game 228: Player = 12, Bot = -6
Game 229: Player = -6, Bot = 12
Game 230: Player = 0, Bot = 0
Game 231: Player = 6, Bot = 12
Game 232: Player = 12, Bot = -6
Game 233: Player = 0, Bot = 0
Game 234: Player = 0, Bot = 0
Game 235: Player = 0, Bot = 0
Game 236: Player = 12, Bot = -6
Game 237: Player = 0, Bot = 0
Game 238: Player = 7, Bot = 8
Game 239: Player = -6, Bot = 12
Game 240: Player = -6, Bot = 12
Game 241: Player = 12, Bot = 6
Game 242: Player = 8, Bot = 7
Game 243: Player = 0, Bot = 0
Game 244: Player = 12, Bot = -6
Game 245: Player = 8, Bot = 7
Game 246: Player = 12, Bot = -6
Game 247: Player = 0, Bot = 0
Game 248: Player = 0, Bot = 0
Game 249: Player = -6, Bot = 12
Game 250: Player = 0, Bot = 0
Game 251: Player = 16, Bot = -6
Game 252: Player = 0, Bot = 0
Game 253: Player = 12, Bot = -6
Game 254: Player = 0, Bot = 0
Game 255: Player = 0, Bot = 0
Game 256: Player = 0, Bot = 0
Game 257: Player = 0, Bot = 0
Game 258: Player = -6, Bot = 12
Game 259: Player = 0, Bot = 0
Game 260: Player = -6, Bot = 12
Game 261: Player = 0, Bot = 0
Game 262: Player = 12, Bot = 7
Game 263: Player = 0, Bot = 0
Game 264: Player = 0, Bot = 0
Game 265: Player = 6, Bot = 12
Game 266: Player = 0, Bot = 0
Game 267: Player = 0, Bot = 0
Game 268: Player = 0, Bot = 0
Game 269: Player = 0, Bot = 0
Game 270: Player = 0, Bot = 0
Game 271: Player = 0, Bot = 0
Game 272: Player = 0, Bot = 0
Game 273: Player = 0, Bot = 0
Game 274: Player = 12, Bot = -6
Game 275: Player = 12, Bot = -6
Game 276: Player = 0, Bot = 0
Game 277: Player = 12, Bot = -6
Game 278: Player = 12, Bot = -6
Game 279: Player = 12, Bot = 6
Game 280: Player = -6, Bot = 12
Game 281: Player = 12, Bot = -6
Game 282: Player = 12, Bot = -6
Game 283: Player = 0, Bot = 0
Game 284: Player = -6, Bot = 12
Game 285: Player = 12, Bot = -6
Game 286: Player = 0, Bot = 0
Game 287: Player = -6, Bot = 12
Game 288: Player = 12, Bot = -6
Game 289: Player = 0, Bot = 0
Game 290: Player = -6, Bot = 12
Game 291: Player = -6, Bot = 16
Game 292: Player = 12, Bot = -6
Game 293: Player = -6, Bot = 12
Game 294: Player = 12, Bot = -6
Game 295: Player = 0, Bot = 0
Game 296: Player = 0, Bot = 0
Game 297: Player = 12, Bot = -6
Game 298: Player = 0, Bot = 0
Game 299: Player = 12, Bot = -6
Game 300: Player = -6, Bot = 12

==== Evaluation Summary ====
Player Wins: 92
Bot Wins: 75
Average Player Score: 2.72
Average Bot Score: 1.80
###############################
end time: 2025-06-03 16:17:37.622137
elapsed time: 0:00:30.033983
